Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Step count
2024-10-31,78,1889.38375530657,4742.39376729299,28,7283
2024-11-01,146,2029.52932652024,6857.510018007,29,10971
2024-11-02,50,1804.54386166114,2337.21534503714,6,4329
2024-11-03,92,1989.31269047851,6617.97536746007,40,8639
2024-11-04,78,1855.1631049378,4127.14059359252,24,6532
2024-11-05,85,1878.34035501055,6186.95697731976,51,8538
2024-11-06,146,2196.57558815803,7368.90434968459,37,11706
2024-11-07,130,2041.62385997845,7081.83134660426,44,11329
2024-11-08,74,1893.29974005667,5332.63433570265,34,7347
2024-11-09,94,1910.18892313651,4655.38103882625,14,8043
2024-11-10,100,2098.58136507794,5261.41889239448,20,8727
2024-11-11,67,1875.29342943002,4220.96698935452,23,6553
2024-11-12,45,1879.40218834952,1820.67148008676,,3834
2024-11-13,126,1971.33707364155,7916.95220850243,49,11146
2024-11-14,113,1884.33599704209,5332.51681532877,31,8369
2024-11-15,126,2060.34231275974,7564.68137732213,48,11163
2024-11-16,98,1938.57631935286,4224.16475411213,10,7155
2024-11-17,119,2071.29641317802,6555.67753500349,35,9753
2024-11-18,96,1956.06184626442,6162.17205295644,31,8550
2024-11-19,88,1997.11270174885,7284.31976913335,59,9111
2024-11-20,130,2122.5536177376,7697.40716937115,51,12137
2024-11-21,122,2173.97026756825,7616.15261718234,45,10859
2024-11-22,87,2007.74657085859,6082.84620168998,50,8388
2024-11-23,82,1941.4866302841,3362.86806624569,9,5838
2024-11-24,65,1962.35650878072,2754.00163865682,,4990
2024-11-25,74,1818.06734262611,3989.27201444561,19,6688
2024-11-26,76,1901.05942716924,4309.2495723314,23,7222
2024-11-27,179,2283.34806186737,6957.84614921266,8,11935
2024-11-28,147,2265.65271598753,5163.64728752418,,9076
2024-11-29,108,1923.17609454212,5916.35982512999,39,9641
2024-11-30,101,1970.48315570108,6631.34528465754,46,8984
2024-12-01,68,1865.13348177643,2112.46643925331,27,3723
2024-12-02,84,1807.2146216591,4827.05686182459,33,7657
2024-12-03,96,1831.69596617804,3238.96885836114,51,5349
2024-12-04,155,2123.41639101262,12617.3705214032,81,6399
2024-12-05,94,1784.72325351824,2285.65568472013,42,3818
2024-12-06,180,2252.31004028957,12005.2241304354,119,5728
2024-12-07,108,1787.88190685401,4144.17045502205,7,7197
2024-12-08,128,1865.2071164239,6175.56008900142,41,9671
2024-12-09,49,1636.10151407995,2260.58466875405,5,3831
2024-12-10,111,1916.58675508867,4162.85392651222,45,6730
2024-12-11,86,1830.59982176389,2191.70519753547,44,3854
2024-12-12,83,1826.1253897842,4041.65930988355,32,6619
2024-12-13,64,1865.0163335843,5546.16778706691,56,7029
2024-12-14,196,2272.80388655069,11381.7390645722,83,12938
2024-12-15,66,1746.6548330229,2788.141781801,8,5113
2024-12-16,132,1862.52639588659,7220.25060996651,46,11388
2024-12-17,79,1787.51517463912,4620.90832210555,34,7051
2024-12-18,94,1868.15145225538,4403.80100228261,10,7493
2024-12-19,113,1733.57989043019,6552.36245624605,58,9614
2024-12-20,109,1894.26967930718,6207.47686198652,43,9406
2024-12-21,92,1779.7956001239,4161.79554457382,1,7096
2024-12-22,90,1910.50248436637,4170.85184628043,,7489
2024-12-23,96,2027.88620088337,7549.21503979446,61,8904
2024-12-24,79,1754.84619741982,2934.54183212863,,5235
2024-12-25,194,2362.72121994551,7989.12991751773,163,9331
2024-12-26,115,2070.33307230664,7851.00409577454,71,9433
